"","TAHUN 2024","","","","","","","","","","","","","","","","","",""
"","G10-KIDS PRODUCT","  188,349,353 ","  203,926,149 ","  27,235,443 ","  61,286,288 ","  184,347,893 ","  129,073,054 ","  94,574,439 ","  134,415,818 ","  89,379,239 ","  102,019,324 ","  42,726,727 ","  50,241,652 ","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","TAHUN 2022","","","","","","","","","","","","","","","","","",""
"","","  1,646,500,603 ","  1,638,132,628 ","  2,366,647,992 ","  2,505,333,769 ","  1,576,108,342 ","  1,975,223,966 ","  2,092,507,428 ","  2,052,403,892 ","  2,325,383,454 ","  2,070,973,965 ","  2,060,302,892 ","  1,919,534,863 ","","","","","",""
"","TOTAL DOME SEMARANG_GT","","","","","","","","","","","","","","","","","",""
"","Product Line","2022/01","2022/02","2022/03","2022/04","2022/05","2022/06","2022/07","2022/08","2022/09","2022/10","2022/11","2022/12","","","","","",""
"","B10-RASA MANTAP SOY","  325,397,026 ","  243,734,184 ","  310,884,956 ","  413,667,695 ","  255,583,530 ","  291,830,278 ","  350,329,563 ","  327,348,883 ","  239,173,307 ","  342,731,316 ","  222,835,735 ","  325,632,947 ","","","","","",""
"","B20-SOY SACHET","  16,616,474 ","  13,477,087 ","  15,940,729 ","  80,728,908 ","  22,200,439 ","  26,857,703 ","  106,554,912 ","  29,873,024 ","  26,275,789 ","  12,426,632 ","  20,890,127 ","  16,130,336 ","","","","","",""
"","B30-SPECIAL SAUCE","  55,919,947 ","  55,375,501 ","  54,290,294 ","  57,264,595 ","  53,474,883 ","  53,342,107 ","  52,620,667 ","  58,519,460 ","  53,379,203 ","  75,887,460 ","  33,078,563 ","  50,721,081 ","","","","","",""
"","B40-SHRIMP PASTE","  134,266,098 ","  153,092,416 ","  197,662,786 ","  168,481,994 ","  228,665,648 ","  265,170,654 ","  230,777,989 ","  194,523,722 ","  213,366,173 ","  221,213,857 ","  414,034,867 ","  273,599,583 ","","","","","",""
"","B50-CHILI","  320,168,161 ","  290,377,007 ","  457,952,062 ","  438,101,717 ","  267,292,024 ","  348,442,190 ","  406,348,478 ","  319,701,528 ","  289,629,692 ","  339,764,859 ","  309,688,701 ","  315,310,063 ","","","","","",""
"","B60-TOMATO KETCHUP","  72,868,966 ","  59,622,567 ","  80,576,275 ","  85,638,856 ","  70,450,442 ","  78,555,643 ","  72,262,186 ","  63,687,506 ","  73,634,755 ","  86,782,270 ","  69,572,156 ","  79,144,676 ","","","","","",""
"","C10-CANNED FISH SARDINES","  356,927,577 ","  448,926,305 ","  691,241,265 ","  883,121,605 ","  323,168,470 ","  465,605,092 ","  343,544,634 ","  496,730,778 ","  909,339,209 ","  564,137,769 ","  690,926,310 ","  423,891,424 ","","","","","",""
"","E10-ADULT JUICE","  22,175,886 ","  21,226,922 ","  31,316,490 ","  22,192,777 ","  32,566,435 ","  42,065,301 ","  35,840,940 ","  36,315,987 ","  45,291,679 ","  40,728,617 ","  27,333,409 ","  31,145,328 ","","","","","",""
"","E20-SARI ASAM","  3,975,462 ","  2,012,973 ","  3,916,396 ","  2,310,811 ","  4,162,882 ","  4,840,720 ","  6,312,792 ","  5,430,576 ","  9,247,556 ","  7,607,086 ","  4,285,297 ","  105,477 ","","","","","",""
"","E30-SARI KEDELAI","  1,678,952 ","  463,282 ","  4,400,097 ","  2,910,901 ","  3,711,722 ","  3,688,447 ","  4,141,570 ","  5,980,327 ","  3,641,656 ","  3,760,280 ","  134,698 ","  42,692 ","","","","","",""
"","E40-KACANG HIJAU","  102,234,588 ","  88,350,489 ","  267,618,352 ","  146,216,001 ","  89,375,088 ","  120,085,790 ","  148,478,305 ","  195,648,381 ","  149,355,414 ","  126,269,577 ","  37,601,366 ","  79,492,559 ","","","","","",""
"","G10-KIDS PRODUCT","  234,271,466 ","  261,473,894 ","  250,848,292 ","  204,697,910 ","  225,456,780 ","  274,740,040 ","  335,295,390 ","  318,643,720 ","  313,049,020 ","  249,664,240 ","  229,921,664 ","  324,318,695 ","","","","","",""
